2.07,3.97,3.24
2.05,3.95,3.25
2.02,3.92,3.25
1.99,3.89,3.24
1.96,3.86,3.25
1.93,3.82,3.25
1.91,3.79,3.25
1.88,3.76,3.25
1.85,3.73,3.25
1.83,3.7,3.25
1.8,3.67,3.25
1.77,3.64,3.25
1.75,3.61,3.24
1.73,3.57,3.22
1.7,3.54,3.2
1.68,3.51,3.19
1.65,3.49,3.16
1.63,3.46,3.14
1.61,3.43,3.12
1.59,3.4,3.09
1.57,3.37,3.07
1.55,3.34,3.05
1.53,3.31,3.02
1.51,3.29,3
1.49,3.26,2.97
1.47,3.24,2.95
1.46,3.2,2.93
1.44,3.18,2.9
1.42,3.15,2.88
1.4,3.12,2.85
1.38,3.1,2.83
1.37,3.07,2.8
1.35,3.04,2.78
1.33,3.02,2.75
1.31,2.98,2.73
1.29,2.96,2.7
1.28,2.94,2.68
1.26,2.91,2.65
1.25,2.88,2.63
1.23,2.85,2.6
1.21,2.83,2.58
1.19,2.8,2.55
1.18,2.78,2.52
1.17,2.75,2.5
1.15,2.72,2.48
1.13,2.7,2.46
1.11,2.67,2.43
1.1,2.65,2.4
1.09,2.62,2.38
1.07,2.6,2.35
1.06,2.58,2.33
1.04,2.55,2.3
1.03,2.53,2.28
1.02,2.51,2.25
1,2.49,2.23
0.99,2.46,2.2
0.98,2.44,2.18
0.97,2.42,2.16
0.96,2.4,2.13
0.94,2.38,2.11
0.93,2.36,2.09
0.92,2.34,2.06
0.91,2.31,2.03
0.9,2.29,2.01
0.89,2.27,1.99
0.88,2.25,1.97
0.88,2.24,1.94
0.87,2.21,1.92
0.86,2.19,1.9
0.85,2.18,1.87
0.85,2.16,1.85
0.84,2.14,1.83
0.83,2.12,1.8
0.83,2.1,1.79
0.82,2.09,1.76
0.81,2.07,1.74
0.81,2.05,1.72
0.8,2.04,1.7
0.8,2.02,1.68
0.79,2,1.65
0.79,1.98,1.63
0.78,1.97,1.61
0.78,1.95,1.59
0.77,1.94,1.57
0.77,1.92,1.55
0.77,1.9,1.53
0.76,1.89,1.5
0.76,1.87,1.48
0.76,1.86,1.46
0.76,1.84,1.44
0.75,1.83,1.42
0.75,1.81,1.39
0.74,1.8,1.38
0.74,1.78,1.35
0.73,1.77,1.33
0.73,1.76,1.31
0.73,1.74,1.29
0.73,1.73,1.27
0.72,1.72,1.24
0.72,1.7,1.22
0.72,1.69,1.2
0.72,1.67,1.18
0.71,1.66,1.16
0.71,1.65,1.14
0.71,1.64,1.12
0.7,1.62,1.1
0.7,1.61,1.08
0.7,1.6,1.06
0.7,1.58,1.04
0.69,1.57,1.02
0.69,1.56,1
0.69,1.55,0.98
0.69,1.54,0.97
0.69,1.52,0.95
0.69,1.51,0.93
0.69,1.5,0.92
0.68,1.49,0.9
0.68,1.48,0.88
0.68,1.46,0.87
0.68,1.45,0.85
0.67,1.44,0.84
0.67,1.43,0.82
0.67,1.42,0.81
0.67,1.41,0.8
0.67,1.4,0.79
0.67,1.39,0.77
0.67,1.38,0.76
0.67,1.37,0.74
0.66,1.36,0.73
0.66,1.35,0.72
0.66,1.34,0.71
0.66,1.34,0.7
0.65,1.33,0.69
0.65,1.32,0.68
0.65,1.31,0.66
0.65,1.3,0.65
0.65,1.29,0.64
0.64,1.29,0.63
0.64,1.28,0.62
0.64,1.27,0.61
0.64,1.26,0.6
0.64,1.26,0.59
0.63,1.25,0.58
0.63,1.24,0.57
0.63,1.24,0.56
0.63,1.23,0.55
0.63,1.22,0.54
0.63,1.22,0.53
0.63,1.21,0.52
0.63,1.2,0.52
0.52,1.09,0.34
0.52,1.09,0.34
0.52,1.09,0.34
0.52,1.08,0.34
0.52,1.09,0.34
0.52,1.09,0.34
0.52,1.09,0.34
0.52,1.09,0.34
0.52,1.08,0.34
0.52,1.08,0.34
0.52,1.08,0.34
0.52,1.09,0.34
0.52,1.09,0.34
0.53,1.09,0.34
0.53,1.09,0.34
0.53,1.09,0.34
0.53,1.09,0.34
0.53,1.09,0.34
0.54,1.08,0.34
0.54,1.08,0.34
0.54,1.09,0.34
0.54,1.09,0.34
0.55,1.09,0.34
0.55,1.09,0.34
0.55,1.08,0.34
0.55,1.08,0.34
0.56,1.08,0.34
0.56,1.08,0.34
0.56,1.09,0.34
0.57,1.09,0.34
0.57,1.09,0.34
0.57,1.09,0.34
0.57,1.1,0.34
0.58,1.1,0.34
0.58,1.1,0.34
0.58,1.11,0.34
0.58,1.1,0.34
0.58,1.1,0.34
0.59,1.11,0.34
0.59,1.11,0.34
0.59,1.11,0.34
0.59,1.12,0.34
0.59,1.12,0.34
0.59,1.12,0.34
0.6,1.11,0.34
0.6,1.11,0.34
0.6,1.11,0.34
0.6,1.11,0.34
0.6,1.11,0.34
0.6,1.12,0.34
0.6,1.12,0.34
0.6,1.13,0.34
0.6,1.15,0.34
0.6,1.15,0.34
0.6,1.14,0.34
0.61,1.14,0.34
0.61,1.14,0.34
0.61,1.15,0.34
0.61,1.15,0.34
0.61,1.15,0.34
0.61,1.16,0.34
0.61,1.17,0.35
0.61,1.18,0.35
0.61,1.18,0.35
0.61,1.18,0.35
0.61,1.18,0.35
0.61,1.18,0.35
0.61,1.18,0.36
0.61,1.18,0.36
0.61,1.19,0.36
0.61,1.19,0.37
0.61,1.2,0.37
0.61,1.2,0.38
0.61,1.21,0.38
0.61,1.22,0.38
0.61,1.22,0.39
0.61,1.22,0.39
0.61,1.23,0.4
0.61,1.24,0.4
0.61,1.25,0.4
0.61,1.26,0.41
0.61,1.25,0.41
0.61,1.25,0.42
0.61,1.26,0.42
0.61,1.25,0.42
0.61,1.26,0.43
0.61,1.27,0.43
0.61,1.26,0.43
0.61,1.27,0.44
0.61,1.28,0.44
0.61,1.28,0.45
0.61,1.28,0.45
0.6,1.29,0.45
0.6,1.29,0.46
0.6,1.29,0.46
0.6,1.29,0.46
0.6,1.29,0.46
0.6,1.3,0.47
0.6,1.29,0.47
0.6,1.3,0.47
0.6,1.29,0.48
0.6,1.3,0.48
0.6,1.3,0.48
0.6,1.31,0.48
0.6,1.29,0.49
0.6,1.3,0.49
0.6,1.3,0.49
0.6,1.3,0.5
0.6,1.29,0.5
0.6,1.29,0.5
0.6,1.3,0.5
0.6,1.3,0.5
0.6,1.3,0.51
0.6,1.3,0.51
0.6,1.3,0.51
0.6,1.31,0.51
0.6,1.31,0.51
0.6,1.31,0.51
0.6,1.3,0.51
0.6,1.3,0.51
0.59,1.3,0.51
0.59,1.31,0.51
0.59,1.3,0.51
0.59,1.31,0.51
0.59,1.3,0.51
0.59,1.31,0.51
0.59,1.31,0.52
0.59,1.31,0.52
0.59,1.31,0.52
0.59,1.31,0.52
0.59,1.31,0.52
0.59,1.32,0.52
0.59,1.32,0.52
0.59,1.32,0.53
0.59,1.32,0.53
0.59,1.33,0.54
0.59,1.33,0.54
0.59,1.34,0.55
0.59,1.34,0.55
0.59,1.35,0.56
0.59,1.36,0.57
